ts,uid,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,next_protocol,established,cert_chain_fuids,subject,issuer
2020-09-02 14:33:48.338402033,CgnCcKyQn6Fuvtaaa,33952,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,i.instagram.com,T,,T,,,
2020-09-02 14:33:49.760056019,CyaZhP168fSnjEW4i,33954,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.cdninstagram.com,T,,T,,,
2020-09-02 14:33:49.785082102,C1joeV1VXsHCLjiswg,33956,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.cdninstagram.com,T,,T,,,
2020-09-02 14:33:49.816934109,CplZRBVCFLcGq4Dbl,33958,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.cdninstagram.com,T,,T,,,
2020-09-02 14:33:49.826136112,C05gpYcCZjI5tZ4m5,33960,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.cdninstagram.com,T,,T,,,
2020-09-02 14:33:49.866741896,Cuq0XY1vpDGqUUfoQe,33962,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.instagram.com,T,,T,,,
2020-09-02 14:33:51.555999041,CYaRbd1LgVHyMi0os7,58526,157.240.30.11,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,secp256r1,edge-mqtt.facebook.com,F,,T,"F11cB51wbjfFUg2Hqk,FmMSzw1GvTD6uTW1d9","CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:33:52.060348034,ChLiFt1y8OfIFbEuz8,52296,157.240.30.18,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.facebook.com,T,,T,,,
2020-09-02 14:33:52.076116085,ClrilA2BIAcAvtI6G6,48886,157.240.30.27,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,connect.facebook.net,T,h2,T,,,
2020-09-02 14:33:53.935839891,Ck76jL1pxtD3ITyzL1,33970,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.cdninstagram.com,T,,T,,,
2020-09-02 14:34:15.587376118,CE2v1V1PiJwfenwq22,44670,157.240.30.34,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,secp256r1,mqtt-mini.facebook.com,F,,T,"FGkGth3S2vgqsSOeW9,FpI5qi1NT6HlRITfm4","CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:34:28.141705036,CvADeV22K5TAlDh7c,48892,157.240.30.27,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,lookaside.facebook.com,T,,T,,,
2020-09-02 14:34:28.190105915,CFADjydqH5q29Weg9,48894,157.240.30.27,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,static.xx.fbcdn.net,T,,T,,,
2020-09-02 14:34:28.204581022,CoepxB3Chw2X4NTbie,48896,157.240.30.27,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,static.xx.fbcdn.net,T,,T,,,
2020-09-02 14:34:28.335334063,CUcwiV3pErZ9pLT30j,60978,157.240.30.35,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,www.facebook.com,T,,T,,,
2020-09-02 14:34:59.071654081,CUV2Ho4LyB1xW4Lmdc,52312,157.240.30.18,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,api.facebook.com,T,,T,,,
2020-09-02 14:34:59.077208996,CnCVN6i60NAbKmFxl,60690,69.171.250.20,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,secp256r1,edge-mqtt.facebook.com,F,,T,"FU4lIF474GDFf2hycj,FJ5MWa4hhj03qS6Oyk","CN=*.facebook.com,O=Facebook\\, Inc.,L=Menlo Park,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:34:59.078598022,CFG14Y2cv4djQJc9El,60982,157.240.30.35,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,b-api.facebook.com,T,,T,,,
2020-09-02 14:34:59.083389997,CYxppw1PYbB5N7vr6f,52316,157.240.30.18,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.facebook.com,T,,T,,,
2020-09-02 14:34:59.087466955,CGxmNmRVRebBCc1x4,60986,157.240.30.35,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,b-graph.facebook.com,T,,T,,,
2020-09-02 14:35:12.228888035,CiSSFRmnfQowhaF1k,56228,104.244.42.194,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,api.twitter.com,T,h2,T,,,
2020-09-02 14:35:12.469470978,CYeKR14UuvXf0CEi1i,46724,68.232.34.217,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,video.twimg.com,F,,T,,,
2020-09-02 14:35:12.470715046,CEpdHu2mjU9D0gHYP4,54194,192.229.233.50,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,pbs.twimg.com,F,,T,,,
2020-09-02 14:35:14.659290075,C2CHBz4ktEJeM70wTh,41088,35.201.69.248,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,na.glbtls.t.co,F,,T,,,
2020-09-02 14:35:18.603696108,CvT6A5i77lKpFvcuc,41090,35.201.69.248,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,na.glbtls.t.co,T,,T,,,
2020-09-02 14:36:15.902642012,CXVBUUhqkJEhiN2s6,56248,104.244.42.194,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,api.twitter.com,F,h2,T,"F5l1zD2OWAgyw4g1Y1,F4RqjY3GRvfAVrtzm2","CN=api.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:36:17.677459955,CjFTHUL7VeVKYe43k,37696,13.107.42.23,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,h2,T,"FrXiZ5fKhKL2s7Yv3,FUhcZR3ZsK7ZRV24vc",CN=edge.skype.com,"CN=Microsoft IT TLS CA 4,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:17.679624081,CeqSajfZvDFq1FLYg,37698,13.107.42.23,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,h2,T,"F2IcbHptnvcAcsfob,FT4Zae1XDfl4NrC6Gf",CN=edge.skype.com,"CN=Microsoft IT TLS CA 4,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:15.903187990,CZHtz64VhurJylQIGb,56246,104.244.42.194,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,api.twitter.com,F,h2,T,"FQpYfl19rA6umwDOSi,FNHXx11svKn5OlDXBj","CN=api.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:36:19.408577919,CmZHNWGB7ULDZ7L09,53964,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,F,,T,,,
2020-09-02 14:36:16.979665995,CN4ss33DPs7SPD8mOj,44104,40.122.172.160,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,prod.registrar.skype.com,F,,T,"F4SBJJ15cqRXrv00sf,F7JEbeMYpkY4ejBS1",CN=prod.registrar.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:17.083626032,Ccba7z2DVI8MlqC2J9,52162,40.74.219.49,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,azscus1-client-s.gateway.messenger.live.com,F,,T,"FMfUcS3fSKYPdQOK2,FcgeTV1EBERFboDsQe",CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:17.160955906,CW9YEc4evFc4vUwDde,52164,40.74.219.49,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,azscus1-client-s.gateway.messenger.live.com,F,,T,"FuYDgm3is2A70nZECe,Fd9BTW1p3KlhMgsHTb",CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:19.732752085,C3b3rg4IcEo347m3qb,34504,40.114.211.99,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,x25519,consumer.entitlement.skype.com,F,h2,T,"FjPlTC49TieltNBirc,F3eWUy4A2OgD2TZcL4",CN=consumer.entitlement.skype.com,"CN=Microsoft IT TLS CA 1,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:19.681318045,C2WyFN1hJikUyYAL49,52204,13.94.251.244,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,static.asm.skype.com,F,h2,T,"FQQBj947bXH29Fr2yb,F5r4pa2nk08EClNVU5",CN=static.asm.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:22.293298960,C77jQPctsQeQqjvB2,46780,68.232.34.200,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,static-asm.secure.skypeassets.com,F,h2,T,"FBxlDSI8mP89j2c3g,F0WLSn2bbbKaupsElk",CN=*.vo.msecnd.net,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:19.598783016,CTYI4t4NuCD8D9ksBi,38670,104.244.42.195,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,probe.twitter.com,F,http/1.1,T,"F4pxd41evm9A0a8LB2,FnJnTp2WOvmPN1wNJg","CN=*.twitter.com,OU=fra2,O=Twitter\\, Inc.,L=San Francisco,ST=California,C=US","CN=DigiCert SHA2 High Assurance Server CA,OU=www.digicert.com,O=DigiCert Inc,C=US"
2020-09-02 14:36:20.951071978,CW8itk47zjxsMLC8T,52182,40.74.219.49,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,azscus1-client-s.gateway.messenger.live.com,F,,T,"Fv3rAs1CFVfZ1iqVHd,FxqOoj2DmEbx2WnXGg",CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:20.951005936,CJfoqi1itdmzrKl6Gd,52180,40.74.219.49,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,azscus1-client-s.gateway.messenger.live.com,F,,T,"FzmUjk381eDfG30YCj,F1Kjtr1iMYsHv2Slnl",CN=apis.skype.com,"CN=Microsoft IT TLS CA 2,OU=Microsoft IT,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
2020-09-02 14:36:34.656317949,CP0Z0k4bvqknorrxw1,48962,157.240.30.27,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent.xx.fbcdn.net,T,,T,,,
2020-09-02 14:36:34.725836992,CJQexHK6EDeubpeKg,52376,157.240.30.18,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.facebook.com,T,,T,,,
2020-09-02 14:36:56.014367104,CVNKev16aT2Whlmlg,48966,157.240.30.27,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,scontent-prg1-1.xx.fbcdn.net,T,,T,,,
2020-09-02 14:37:15.494219065,CmKQPy2E2AqKmpfOrd,54534,172.217.23.202,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,android.googleapis.com,T,,T,,,
2020-09-02 14:37:15.650321007,C4VQgYcUCSeBhrTwf,37410,172.217.23.234,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,lamssettings-pa.googleapis.com,F,,T,,,
2020-09-02 14:37:34.026695013,CF9VVu1vAvWE78HkF1,60754,69.171.250.20,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,edge-mqtt.facebook.com,T,,T,,,
2020-09-02 14:37:41.372925997,CFtHkp1OboAxZmreoi,60756,69.171.250.20,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,edge-mqtt.facebook.com,T,,T,,,
2020-09-02 14:38:50.210279942,CEVdaZ1J4gusOKXvRc,34058,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,i.instagram.com,T,,T,,,
2020-09-02 14:38:50.942281008,C7bvit4YLpboA02B71,34060,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.instagram.com,T,,T,,,
2020-09-02 14:38:52.294154882,CizSET1Lj8XzlMpzD5,52488,216.58.201.110,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,android-safebrowsing.google.com,F,http/1.1,T,"F6zU2EZJgsmdDUoug,FhSh5cyySZ0Z4rOXj","CN=*.google.com,O=Google LLC,L=Mountain View,ST=California,C=US","CN=GTS CA 1O1,O=Google Trust Services,C=US"
2020-09-02 14:38:52.878976107,Cei99t36MqalrZDt81,53922,216.58.201.99,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,connectivitycheck.gstatic.com,F,http/1.1,T,"FTcRFF2OE3SrlOIh5a,FFmu771GQ2iDslBVkb","CN=*.gstatic.com,O=Google LLC,L=Mountain View,ST=California,C=US","CN=GTS CA 1O1,O=Google Trust Services,C=US"
2020-09-02 14:38:52.977349997,CnW2ag0jlD1R5761c,41650,216.58.201.106,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,infinitedata-pa.googleapis.com,F,h2,T,"FGtHF92zM1KnEaAa99,FV4aG859AD0auf9b7","CN=upload.video.google.com,O=Google LLC,L=Mountain View,ST=California,C=US","CN=GTS CA 1O1,O=Google Trust Services,C=US"
2020-09-02 14:38:53.765755892,C4sGdL1uDrXYowov5l,37428,172.217.23.234,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,www.googleapis.com,T,,T,,,
2020-09-02 14:39:22.900458097,CyZHDt357HAmupBs1c,57544,172.217.23.206,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,android.clients.google.com,T,,T,,,
2020-09-02 14:35:24.222757101,C5O3iu2Keow2DmZewk,45728,69.195.179.128,443,,,,api-24-0-0.twitter.com,F,,F,,,
2020-09-02 14:35:19.006866932,CPPaCw1yaCY5XPfzY7,46242,69.195.168.128,443,,,,api-45-0-0.twitter.com,F,,F,,,
2020-09-02 14:35:29.411791086,Ci0guz1WzvpYNKrgr,43710,69.195.174.128,443,,,,api-36-0-0.twitter.com,F,,F,,,
2020-09-02 14:35:34.586023092,CY7ks5rBgQy3Kzfmg,39604,209.237.194.128,443,,,,api-3-0-0.twitter.com,F,,F,,,
2020-09-02 14:40:50.359415054,CsdYAm2EOAFybtCp6b,34076,157.240.30.63,443,unknown-64282,TLS_AES_128_GCM_SHA256,x25519,graph.instagram.com,T,,T,,,
2020-09-02 14:41:18.428534031,CE4MFJ1RAv9jD7j8f4,57736,74.125.71.188,5228,TLSv13,TLS_AES_128_GCM_SHA256,x25519,mtalk.google.com,T,,T,,,
2020-09-02 14:36:19.483895063,CsMdO13bzHM8aWrvA9,36738,20.44.78.251,443,,,,in.appcenter.ms,F,,F,,,
2020-09-02 14:36:20.951775074,ClMierphk7pDs2oC,52184,40.74.219.49,443,,,,azscus1-client-s.gateway.messenger.live.com,F,,F,,,
2020-09-02 14:45:09.506174087,C9tSxK3E9blgAvT9sj,44070,216.58.201.74,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,play.googleapis.com,F,http/1.1,T,"FdA9a8V6lid6uVFBg,Fr3BQceRvrb3HSKQe","CN=upload.video.google.com,O=Google LLC,L=Mountain View,ST=California,C=US","CN=GTS CA 1O1,O=Google Trust Services,C=US"
2020-09-02 15:01:19.481731892,CKXsYh3y0qnu6IP8bg,56338,104.244.42.194,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,api.twitter.com,T,h2,T,,,
2020-09-02 15:01:19.649110079,C4CGwj4LQYp5JlwjC7,54040,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,T,,T,,,
2020-09-02 15:01:19.820784092,C02mhv37NfONtED6i9,38746,104.244.42.195,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,probe.twitter.com,T,http/1.1,T,,,
2020-09-02 15:01:20.011636019,CIFzkhNunTauYKWZe,54044,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,F,,T,,,
2020-09-02 15:02:29.589756012,Cu9dLO3d0GWeYBLavc,54052,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,T,,T,,,
2020-09-02 15:06:49.895777941,CIHpC12dfDgsNlCXy5,40176,216.58.201.78,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,,app-measurement.com,T,http/1.1,T,,,
2020-09-02 15:06:50.090876102,ChwjLE3hGrc8M9TmMk,37498,172.217.23.234,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,play.googleapis.com,F,,T,,,
2020-09-02 15:06:50.777585030,Ccro1mS22D3jyUpff,37500,172.217.23.234,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,play.googleapis.com,F,,T,,,
2020-09-02 15:13:09.403429985,C3qGIs31FfFuJTCsJ5,55510,172.217.23.238,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,android.clients.google.com,T,,T,,,
2020-09-02 15:13:09.477179050,CpQlXd1LM3lzSZ1a18,44132,216.58.201.74,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,android.googleapis.com,T,,T,,,
2020-09-02 15:13:39.493472099,CECH941TaCi426ROp8,41732,216.58.201.106,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,people-pa.googleapis.com,F,,T,,,
2020-09-02 15:13:56.091309071,CoqeK14slRRWT3jSG3,41734,216.58.201.106,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,people-pa.googleapis.com,F,,T,,,
2020-09-02 15:26:19.705396891,Cmz3aX3s2GpoaPURW,54090,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,T,,T,,,
2020-09-02 15:26:19.895692110,Ci1SH62mLUPecPJx5d,38796,104.244.42.195,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,probe.twitter.com,T,http/1.1,T,,,
2020-09-02 15:26:20.073468924,CupYkjJ1BXaXaZk94,54094,34.102.215.127,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,global.glbtls.t.co,T,,T,,,
2020-09-02 15:27:20.309696913,CokYEW2q0cjgDIE5Gi,41360,104.244.42.66,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,api.twitter.com,T,h2,T,,,
